物品	描述
矿镐	用来挖矿的普通铁镐，容易损坏
制皮刀	用来切割兽皮的普通小刀，容易损坏
锄头	用来刨地的普通锄头，容易损坏
铁斧	用来开林辟路的普通铁斧，容易损坏
木梭	用来理纳丝线的普通木梭，容易损坏
药锄	用来挖掘药草的普通小锄，容易损坏
金刚镐	能够挖掘矿产的高级镐头，不易损坏
土王刀	能够切割兽皮的高级小刀，不易损坏
玄木锄	能够种出物产的高级锄头，不易损坏
烈火斧	能够砍断树木的高级斧头，不易损坏
玉女梭	能够编织衣物的高级银梭，不易损坏
黑水锄	能够挖采药草的高级锄头，不易损坏
共工镐	非常耐用的神镐，可以挖掘矿石
雷神刀	非常耐用的小刀，可以切割兽皮
炎帝锄	非常耐用的神锄，可以种出物产
盘古斧	非常耐用的神斧，可以用来伐木
织女梭	非常耐用的神梭，可以用来织衣
神农锄	非常耐用的神锄，可以用来采药
